subject,wm_snr_orig,gm_snr_orig,wm_snr_norm,gm_snr_norm,cc_size,holes_lh,holes_rh,defects_lh,defects_rh,topo_lh,topo_rh,con_snr_lh,con_snr_rh,rot_tal_x,rot_tal_y,rot_tal_z,n_outlier_norms,n_outlier_sample_nonpar,n_outlier_sample_param,QC_metric
SUBJ_00240,13.464678405616867,8.330282679638044,25.004972479710432,12.318203794145091,0.0022005952558059,39,18,34,14,2.2,3.1,3.4402466,3.3683577,0.0125453138661876,-0.0428554671930832,-0.0293812272158144,4.0,1,3,1.61283154340482
SUBJ_00241,11.324153795378365,7.774958340301671,23.87981180688977,13.16323894754402,0.002604638092002,37,24,30,22,2.3,6.4,3.37741,3.3797011,-0.0955176684466228,-0.039953899341083,-0.0054639379279626,5.0,2,4,2.290913226687441
SUBJ_00242,11.611824018278368,7.747518158853295,25.08970817424549,11.525676887812056,0.0024698124557561,43,34,27,23,3.1,3.6,3.390626,3.4549634,-0.1460872863968458,-0.0122978221955438,-0.0737915129980196,6.0,1,5,2.3274897513162154
SUBJ_00246,14.154549951122677,8.890136675606799,25.45485168397875,12.728226193310345,0.0026358948808045,38,54,43,31,2.6,3.0,3.1778376,3.2115602,-0.0022935493133511,-0.0473374246465245,-0.0226597732196921,4.0,1,1,4.543704767859375
SUBJ_00247,10.473099414472076,7.117683718831075,22.78456973090876,12.542559607223737,0.0026904781950395,61,41,35,41,2.5,8.1,3.1941617,3.133954,-0.1553134304038363,-0.0601374831248309,-0.0061874877708815,5.0,1,4,5.216507552478043
SUBJ_00248,12.10069892505046,8.103690122349324,24.2496376261832,12.972108131678484,0.0032188703175462,35,19,25,24,1.6,2.5,3.2811005,3.2925227,-0.140784513648713,-0.1072110327213682,-0.0108997048375893,2.0,0,1,1.4392169135971482
SUBJ_00251,12.518114931232704,8.355996774831857,23.044410886832225,13.098956220050455,0.0026499704582903,56,47,51,38,2.9,10.2,3.0943696,3.10415,-0.1323035086760873,0.0026259889050201,-0.0295839939636018,5.0,0,5,6.274536704937784
SUBJ_00253,11.40853590076171,7.637385439695174,25.55886022862366,12.883078184567577,0.0027188713152215,32,41,30,33,2.8,2.8,3.43397,3.350134,-0.0715349772631421,-0.0091926228777197,-0.0054643861067956,2.0,0,0,2.8204173636888115
SUBJ_00255,11.224319375687848,7.659407910044259,23.541898481092133,11.854189200150708,0.0025846138208134,37,42,33,28,1.9,2.2,3.4485679,3.385423,-0.1386909429013486,0.0865043546542022,0.1251685325179476,4.0,1,5,2.400374566483917
SUBJ_00256,11.132903709363656,7.193553777507538,23.35933659056021,12.22157623357575,0.0025279402544746,33,49,27,38,1.3,2.1,3.3153045,3.3076835,-0.0415303742330841,-0.0221283306494203,0.0120461439504292,2.0,0,1,3.0936610371277378
SUBJ_00258,12.97711056291024,8.249285944437023,25.01687566606783,13.339301614355332,0.0026904882120516,40,26,20,34,2.0,9.8,3.328675,3.3665948,-0.0996796337623643,0.0120389737807978,-0.0378178180185746,4.0,0,1,2.398354890789556
SUBJ_00260,11.841234457795167,8.169594150506448,24.51745692964841,12.641676563201075,0.0022432744765235,36,27,26,30,2.3,2.3,3.3333826,3.3631067,-0.0671014535356981,0.0252713320371505,-0.01394087585044,5.0,1,1,2.330557755948728
SUBJ_00262,13.906317093772298,8.664326251278936,23.959266243126184,11.546797895543367,0.002514073545792,29,38,22,24,1.8,2.8,3.3260221,3.3277807,-0.0413038254246154,0.0366464629663951,-0.0607582095134729,5.0,2,8,1.8425665694013431
SUBJ_00266,13.181157851423508,8.26017513791875,24.38088676220088,13.36444369900313,0.0022848744555714,35,37,30,26,2.4,2.5,3.1666577,3.1920586,-0.0136093690827214,-0.0210811857398813,0.0499602383079536,4.0,1,8,3.189098541530348
SUBJ_00269,12.157523198224084,8.192677237156646,26.26585550276758,12.580288280414305,0.0029674433867396,43,38,27,21,3.2,4.3,3.399463,3.3213093,-0.0769548277204817,-0.0594400795749456,0.0565925296896158,4.0,0,0,2.5850995182010337
SUBJ_00272,12.64951195969665,7.9763409370937985,25.990078401542064,11.785638262545548,0.0026729117177034,22,24,16,21,0.9,1.5,3.5025249,3.457857,-0.0697165501945196,0.0851039268762079,-0.0602780133125799,4.0,2,6,-0.2212999087108517
SUBJ_00280,14.502337057561387,8.31409980031463,26.731306554536,11.75292776398575,0.0024436236216255,30,44,31,32,2.5,2.6,3.4768243,3.4255238,0.0389060471567014,-0.0514248365577147,-0.0160260434125113,2.0,0,0,2.415132867229601
SUBJ_00281,12.968412490940375,7.933760441395695,27.5042617243503,12.7939711799007,0.0024636216820023,28,19,18,19,1.5,1.7,3.3233664,3.297032,-0.0939516364257153,0.0605816189234979,-0.025879074801174,1.0,2,4,0.282412522034001
SUBJ_00282,12.321361823687186,8.408844534712028,27.68619074811044,12.746660049477176,0.0028961270003552,38,30,25,22,1.9,3.3,3.5025187,3.5216336,-0.077985168552147,-0.0057461083820681,-0.0418914908433554,4.0,0,0,1.335980586694057
SUBJ_00284,12.089557821806572,7.64248644624976,26.316804859461367,12.387292327058676,0.0026740182349075,39,28,18,29,2.8,4.8,3.4082386,3.4065113,-0.0025931599425962,0.0108979952395664,-0.0202758452732156,0.0,0,0,1.877812566388177
SUBJ_00285,10.64076026715574,7.947042487070761,22.145434257803743,11.69025802933536,0.002416408973418,33,44,26,30,2.2,2.7,3.3506715,3.2995725,-0.2879107427632078,-0.1031701919060733,0.0376368182848999,3.0,0,0,2.457173351718711
SUBJ_00287,12.452246609777172,7.755734555923628,22.116711196328826,12.85558738337304,0.0026762684626372,43,35,30,22,1.9,4.3,2.922209,2.9053774,0.0391543520355986,0.0760484808696,0.0172907067796579,5.0,4,26,4.1242418104097975
SUBJ_00288,12.644137723869862,7.902995163275525,25.9692864933273,12.261841907816134,0.0030256976044975,50,39,43,48,2.4,2.7,3.1486964,3.1413598,-0.0591851498822407,-0.0116939169980834,-0.0318646779759071,2.0,1,7,5.06878850293408
SUBJ_00289,9.805264283856,6.493053806600097,25.62669951037692,12.146866393794848,0.0034133270904282,27,24,27,23,1.4,1.7,3.3774064,3.4115508,-0.0809544029499703,-0.0633408156001407,0.0170398175701872,2.0,0,0,0.8985797529264105
SUBJ_00290,11.768186013851263,7.898468857901072,23.2814381699916,13.325603154192692,0.0025513368874729,27,35,16,26,5.1,5.9,3.2748258,3.2430587,-0.1043401737105984,0.0100726549874812,0.0826657053947934,5.0,3,15,2.9412664108076627
SUBJ_00295,8.745881393938186,6.15599138078395,24.056583416881505,11.023087607464156,0.0024355477907146,27,24,24,21,1.2,2.0,3.3421645,3.284746,-0.4350980347060333,-0.0241212809062633,-0.0077788327792766,4.0,0,0,0.1355273363004547
SUBJ_00297,11.6333361161071,7.978566088190368,24.03840998577039,12.782587299740586,0.0028970428278304,44,33,34,29,2.1,6.4,3.2481167,3.1987247,-0.1418723822939017,-0.0010340529234441,0.031067996320138,4.0,0,1,3.3158498627512385
SUBJ_00301,12.630515031210525,7.789337574326715,26.11845693753334,12.577655174686706,0.0027319510679306,32,21,20,27,3.0,3.3,3.3792238,3.3969371,-0.0917517121311591,0.0448697651953792,-0.061062693669429,1.0,2,6,1.3351799622534015
SUBJ_00308,12.279062154428274,8.043126794233801,23.62952493680072,13.170870779802458,0.0022741983961011,52,47,41,46,2.3,2.5,3.149064,3.279564,0.0001265029881546,0.006988167085806,-0.0128668751513292,4.0,0,1,5.442461076940062
SUBJ_00310,12.438244939749197,8.398394672188719,24.207932113715447,13.114741453012815,0.0032205741226377,32,31,23,29,2.1,9.3,3.2146406,3.3027852,-0.1038721086359008,-0.1234933442579164,-0.0792585909552658,3.0,0,0,2.5432277799560272
SUBJ_00311,11.7664673832656,7.917137616618359,24.78105462448152,12.016315259634794,0.0029667073181795,26,35,24,20,2.1,3.4,3.4337366,3.3322396,-0.1621483346363596,-0.1103316176911549,-0.0030408855052039,4.0,3,7,1.399986903170244
SUBJ_00312,12.054811753058262,8.087729990541362,23.980805988968648,11.987567756606737,0.0020453738221001,33,52,29,40,2.2,8.2,3.2709973,3.192434,-0.0120397736334125,-0.0199984501495038,0.0365821036857281,6.0,3,7,4.392260443447031
SUBJ_00313,13.605097625996317,8.34562455793284,26.89047949424321,12.894654555176343,0.0031447669738957,33,27,22,31,2.2,2.3,3.424284,3.4638553,0.0591955534735788,-0.0516957351493914,0.0262113957748582,3.0,0,0,1.5896398017441324
SUBJ_00316,14.43788612289154,8.742924795425884,25.748162078305672,12.907918559618745,0.0026067835177415,36,30,37,29,1.2,2.2,3.4156978,3.4462824,0.0826857173550173,0.0003059892971043,0.0426578727657457,8.0,6,10,2.5445476304147805
SUBJ_00321,10.769914372870112,6.918933247394378,25.27137899290378,11.331271292451172,0.0035335821065993,25,21,22,23,1.3,2.6,3.3973594,3.4090161,-0.0237419983751903,0.0327024298528017,-0.0693057575410648,4.0,0,0,0.4777850886867725
SUBJ_00322,11.836768573454336,7.894083836137711,23.117644609084174,12.769615515561435,0.002575777569715,35,33,21,33,2.1,7.4,3.1655679,3.2417526,-0.222395009256858,0.0657855883699726,-0.0494099531887078,3.0,0,4,2.54603723980096
SUBJ_00323,12.470088451150428,7.879323254884037,22.529473897725147,13.619606750235112,0.0027307663249038,36,30,24,33,1.7,2.4,3.0929317,3.0241642,0.0324352383307671,-0.0580910136959314,0.0433968079867811,3.0,0,3,3.199187537706324
SUBJ_00326,9.60817738474876,6.137386280745406,26.259138402366755,11.435608177034377,0.002688990538989,23,26,29,20,1.1,1.8,3.4247694,3.3724651,0.0404273987309539,-0.0844506033345327,0.0047442313229039,2.0,1,2,0.8469580081078277
SUBJ_00331,12.442288438161588,8.478287353687433,25.318952769605254,13.682688086387923,0.0024221865689721,43,30,36,25,1.7,2.8,3.2166352,3.2117512,-0.1193545543550408,-0.0617536887895865,0.0755581167542192,4.0,0,3,2.9832197623052745
SUBJ_00333,13.404300850374025,8.724350112890686,22.476745975106905,12.54602726153212,0.0025886974516144,46,30,36,36,1.8,2.0,3.3187065,3.3345745,-0.1147943886718074,0.0605888267952783,0.024683747470986,4.0,3,5,3.292513851879847
SUBJ_00334,13.934655503773165,9.798905002419325,21.15073982166044,12.337778804236857,0.0029446618000065,51,38,44,45,1.7,3.4,3.0705652,3.129361,-0.0306669591764588,0.1066293905077414,0.063113432269921,1.0,7,15,5.499933917089243
SUBJ_00336,11.364367847309431,7.496567127685465,22.297170958346733,12.933626529936324,0.0024974478686386,44,35,31,28,3.4,3.6,3.1420138,3.1991959,-0.1405581241368029,-0.0395831604904633,0.0182464856680691,5.0,1,4,3.759865181368205
SUBJ_00337,12.749931499049078,7.901689488992496,24.280046424588523,13.129338585209776,0.0028834692572055,25,32,28,21,1.5,2.1,3.6644769,3.499422,-0.0290868569926619,-0.0617724302790669,0.0468151476215539,2.0,0,2,0.8698679077502673
SUBJ_00338,13.216690911161,8.17422928083357,27.66473154556476,12.04414206215609,0.0026186054217264,30,37,28,24,1.7,1.9,3.3379855,3.3771052,0.1006276602737558,-0.1347844925458028,-0.0236459816072063,1.0,0,8,1.9096755495406896
SUBJ_00339,13.517223170960628,8.433267132170506,26.092219626851044,11.95360653181046,0.0029584592924007,31,35,26,25,3.3,10.6,3.4966588,3.589556,-0.0327784645321606,-0.0220709737877755,0.0073793054528023,4.0,3,3,2.179337504403721
SUBJ_00340,10.739578933264296,7.302224340428301,24.5349686046402,12.770853179686076,0.0025081964150577,20,23,20,15,2.2,3.7,3.2591867,3.2318895,-0.257073960950175,-0.0764335360849596,-0.0141803714076705,1.0,3,4,0.5828394791938283
SUBJ_00345,10.931198866114054,7.317993632128067,27.05807203466426,12.888301364320418,0.0028306587305904,30,37,26,26,1.4,3.9,3.4526415,3.4862733,-0.0647581244003362,-0.1305446147078834,-0.0010838878585446,4.0,0,0,1.5957378007126797
SUBJ_00347,14.611233810754856,8.847214520836534,25.48259447715392,12.399057957007187,0.0033801824291202,11,32,14,17,1.2,1.7,3.534044,3.4806328,0.04688838990078,-0.0198450429549505,-0.0104908512659105,6.0,0,4,-0.3312841683806591
SUBJ_00349,12.17401555531686,7.6256640848630175,25.34855635324088,11.843101956806132,0.0028043842875106,37,39,25,29,2.5,2.4,3.3932123,3.3966076,-0.0558140766306912,-0.0043546782289225,-0.0020424400140423,5.0,1,3,2.360592601660576
SUBJ_00351,13.46253710541623,8.437521846511787,23.75255733373564,13.570501567493638,0.0027967536515748,51,37,37,40,2.3,2.8,3.3600605,3.2894819,0.0429684357904684,-0.0323665793052311,0.0117995095770745,1.0,0,1,4.244270839808502
SUBJ_00353,11.646582063723804,7.483472623354484,23.36710805392223,11.890827075933457,0.0028160812895033,45,49,28,29,2.0,2.3,3.3691232,3.256073,-0.037460876627025,0.0082280491209607,-0.0698764351984993,1.0,0,2,3.218089741572092
SUBJ_00358,14.473628820053392,9.162397388288506,23.91476977337537,13.398188755079095,0.0032959361417623,56,33,46,34,2.7,2.9,3.230151,3.3404899,0.0665902040302765,0.0131107893863999,-0.1288051240564131,1.0,0,5,4.60282157861855
SUBJ_00360,11.278676065726431,7.30311386216394,26.23786012818985,12.01510655877809,0.0031682255125258,21,33,20,16,1.1,7.7,3.264513,3.3033247,0.0381908383577075,-0.0263585727991347,0.0471519649358895,5.0,0,2,1.024579986766686
SUBJ_00362,10.361937805382256,6.934979604996398,24.05833547993109,12.97924293044579,0.0028736461681775,45,47,48,39,1.8,2.8,3.1751575,3.2470946,-0.0969996477551156,-0.0578457889773168,-0.0186103923334977,4.0,0,4,4.877976509060393
SUBJ_00365,10.958301785395022,7.716994760685981,25.156896873897967,12.299341852285778,0.0024926956729442,43,34,28,28,2.5,16.5,3.2221537,3.1445513,-0.3142696922699377,-0.0634897754857828,-0.0686344644211908,5.0,0,3,3.361109469322872
SUBJ_00371,12.910131471277603,7.749055344282922,24.524040758188622,11.88856827806934,0.0029185452685448,40,32,24,43,1.4,1.7,3.369996,3.3633375,0.0325103982709876,0.0314018190970887,-0.0226296181620685,1.0,3,8,2.673034700914388
SUBJ_00372,11.946562717572894,7.948103488308504,22.2049157404958,12.121998360280624,0.0022172943876305,36,37,32,29,1.9,2.2,3.169804,3.0762167,-0.1232952595878495,-0.0705215229590114,0.0450335306654591,8.0,6,12,3.5555407883939965
SUBJ_00374,12.080210994329642,7.721279157835479,25.336854185747164,11.287459302248848,0.0026332789195318,27,39,31,20,2.7,2.9,3.3782427,3.494425,-0.0249321575486148,0.0427137200126956,-0.0349074364265625,5.0,11,20,2.307639811681753
SUBJ_00375,10.671236967327124,7.310688841609557,24.87616916981825,12.186067076559972,0.0026185391026183,34,34,22,25,1.2,2.0,3.424166,3.3737032,-0.1466440951668133,-0.0349666342558388,0.0495046070206812,3.0,0,0,1.2764163425885553
SUBJ_00379,11.8042363234638,8.204794923183501,24.974487828915468,14.039683772298442,0.002935627200469,56,60,48,46,3.1,6.0,3.1149354,3.0658054,-0.0645073498161841,-0.0232441864141469,-0.0109427512801209,6.0,1,4,7.0066028502788615
SUBJ_00380,9.66290046565093,6.807066014465328,23.19151986166069,12.189053213053576,0.0028357278859889,47,38,36,38,3.4,8.3,3.117192,3.1237743,-0.1697191996575504,-0.0569209858449265,-0.0643089622288966,2.0,0,0,4.742655253425561
SUBJ_00381,16.62537890568902,9.398908444727274,28.885282303352948,13.268580821728964,0.002769442263524,40,49,39,27,1.8,2.4,3.3237302,3.1461656,0.1964740883197081,-0.0505905804019386,0.058888064265482,4.0,3,4,3.474079944515333
SUBJ_00383,14.173447075281093,8.623314825217406,21.643582742771702,13.62151293211095,0.0026814499435525,42,42,35,28,2.1,2.4,2.9951928,3.0876794,0.0508376719551131,0.1144235877270651,-0.0647971038509319,1.0,4,9,4.19877904062808
SUBJ_00385,13.05289200037295,8.460446547508665,23.403333548679985,12.579298430089633,0.0027482281423511,52,40,36,38,2.2,2.2,3.1816096,3.0926085,-0.1762662258376204,-0.075317042656765,0.054056928322321,3.0,1,5,4.31113890881754
SUBJ_00386,11.195565355036926,7.47581934900003,26.39201095379044,12.18029006572875,0.0032071157356379,39,30,29,29,2.1,2.9,3.3214977,3.2067804,-0.0638279361288805,0.0509967791534125,0.0677256100170968,4.0,0,2,2.3614606815716828
SUBJ_00388,11.523716230433378,7.335329385346073,24.45000920791119,12.402137789548185,0.0021263918075088,30,41,31,25,2.1,2.3,3.235636,3.1370065,-0.1631051872292564,-0.090585575738129,-0.0152545774270115,3.0,1,4,2.6510902714755087
SUBJ_00390,10.242501054907397,7.159655578127948,24.225521640656275,11.54695829552345,0.0023049048262473,49,56,38,38,2.9,7.9,3.113225,3.0953856,-0.1745296411684899,0.0191712507558812,-0.0006142594783794,4.0,0,2,5.277958791819539
SUBJ_00391,11.091292717540869,7.563816327618642,24.47057459866916,12.830313857571648,0.002655525748784,52,51,46,35,3.0,4.4,3.355666,3.220541,0.0090451823844685,0.0447092228196394,0.0054652633961882,9.0,5,23,5.72644631973192
SUBJ_00392,12.456367464371835,8.415935807085184,25.70826248516326,13.227204351828842,0.0022885092320921,35,33,27,22,3.0,5.1,3.3879538,3.2747598,-0.1190354165186923,-0.0018098236417526,0.0347269427179953,5.0,0,6,2.411211675262595
SUBJ_00393,11.531990696987252,7.343049897027274,23.29285536100774,13.178674121884116,0.0026474391660335,45,48,35,29,1.9,3.9,3.106528,3.0742912,0.055684615592078,0.0164339520841415,-0.0179113863832682,3.0,2,18,4.6505663468378975
SUBJ_00394,9.97967432030872,6.830145717667163,22.428168240773022,12.606132514327772,0.0023481420574436,34,39,34,30,2.0,3.4,3.3827922,3.333785,-0.1981839180929599,0.0764022685652615,-0.0032367699977045,3.0,1,7,2.708787168872016
SUBJ_00401,13.279867954081135,8.373218198765818,23.23285459475409,13.52370742291391,0.0029509977404525,33,33,26,27,3.2,4.6,3.122349,3.1699512,-0.0241941267643764,-0.0382917065012249,-0.0123727227793916,2.0,1,6,3.2609921376161397
SUBJ_00402,12.4234435569525,8.55370566230177,24.05509230741516,13.340603035910526,0.0026151008290739,44,56,46,53,2.9,5.9,3.143736,2.9919312,-0.0198965337162526,0.0933537846432579,-0.0205078880455271,6.0,1,7,6.664840156298501
SUBJ_00406,11.032231051867829,7.267541148486949,23.60433012046388,12.897257580198326,0.0022222365655158,55,38,44,29,2.6,3.8,3.26566,3.0934873,-0.1320947616733371,-0.049733431979435,0.0993500012241738,3.0,0,2,4.4267026576824176
SUBJ_00407,13.566501489639045,9.164011161751953,25.17718146779255,13.02058326152058,0.0027634735521837,25,39,31,26,1.6,2.0,3.272338,3.272257,-0.0922893598148058,0.0013483978607326,0.0361206880106744,5.0,0,2,2.266899614441211
SUBJ_00410,10.65405521856561,7.08382402356871,23.90064422408581,12.019005168737852,0.002203152592517,45,34,23,38,1.3,1.9,3.3198557,3.1712592,-0.203432571030817,-0.0153475350210026,0.1242215528465334,0.0,2,3,2.510292836772928
SUBJ_00411,12.349714346270808,7.633407028573818,25.29087171261488,11.865286301819149,0.0026433210487604,22,17,10,18,1.0,1.3,3.436482,3.458747,-0.0553267698595251,-0.0017152586541773,0.1108269450899573,4.0,0,1,-0.8246140533360788
SUBJ_00412,9.224082515907504,6.280799482853374,23.255301266518053,11.3347560020078,0.0027224774294346,38,47,27,32,2.3,2.6,3.2450953,3.1327856,-0.1082971666295369,0.0396373272135149,0.0652448039495128,0.0,0,4,3.193011621710758
SUBJ_00418,11.3654085405392,8.08612402819552,22.24857865655666,12.869160784796543,0.0030497136325232,40,49,41,30,3.3,12.9,3.1002936,3.0894454,-0.2323451606913328,0.0005010731156451,0.0034057972765905,6.0,3,9,5.189614482967444
SUBJ_00419,11.22553748706243,7.350417964040459,23.900412923987844,12.39830983258746,0.0029059955301916,50,40,33,35,1.7,2.5,3.156951,3.1808457,-0.0796938548353368,-0.0460882109996373,0.0363761016341686,5.0,2,5,3.995409942288547
SUBJ_00422,12.23055383679432,7.977736382014052,23.989565112285565,12.936040601786695,0.0026473834663026,38,49,35,36,1.8,2.1,3.3589368,3.2270799,-0.0120489290324003,-0.1022988297337277,-0.0592494880467975,6.0,1,5,3.960054797863084
SUBJ_00423,12.884364562300512,8.48228981187199,24.059464116952,12.540408578956235,0.0020655462197152,49,35,31,26,2.5,3.0,3.1997004,3.1636412,-0.1322655205270064,0.116975953231154,-0.0401718536288444,4.0,0,1,3.209214938581159
