"family","traj_def","contrast","estimate","SE","df","t.ratio","p.value","lower.CL","upper.CL","cohen_d","d_lower","d_upper","q.value"
"H1_cross_sectional","LPEs1_T0","Control vs (1+2+3)",0.321085590962,0.130539043046451,406,2.45969009323705,0.0143216348110412,0.0644687839098564,0.577702398014143,0.696225573343027,0.139790813738757,1.2526603329473,0.0286432696220825
"H1_cross_sectional","LPEs1_T1","Control vs (1+2+3)",0.21763148125754,0.151202855048779,108,1.43933447015488,0.152947901019777,-0.0820788086205716,0.517341771135652,0.21531952123065,-0.0812068625055657,0.511845904966867,0.152947901019777
"H2_severity_trend_linear","LPEs1_T0","linear",1.33659091283602,0.676766383416137,406,1.97496646640346,0.0489489927926425,0.00618719315594274,2.66699463251609,1.3223919341546,0.00296385870551652,2.64182000960369,0.0978979855852851
"H2_severity_trend_higher_order","LPEs1_T0","quadratic",-0.0857507199913943,0.302263487247503,406,-0.283695264592706,0.776788536177212,-0.679947591484466,0.508446151501677,-0.0848397661360442,-0.672753452211964,0.503073919939876,0.776788536177212
"H2_severity_trend_higher_order","LPEs1_T0","cubic",0.377757525964973,0.675104098452569,406,0.559554484754048,0.576091911008957,-0.94937843374225,1.7048934856722,0.373744502229431,-0.939546045788061,1.68703505024692,0.768122548011942
"H2_severity_trend_linear","LPEs1_T1","linear",-0.396128987429429,0.947473312134031,108,-0.418089863172201,0.676711546389833,-2.27418546288325,1.48192748802439,-0.391920798526164,-2.25022614163947,1.46638454458715,0.676711546389833
"H2_severity_trend_higher_order","LPEs1_T1","quadratic",-0.732207166332817,0.407913049355772,108,-1.79500794958438,0.0754494581411623,-1.54076159626103,0.0763472635953908,-0.724428725042146,-1.52597923292785,0.0771217828435605,0.301797832564649
"H2_severity_trend_higher_order","LPEs1_T1","cubic",0.791823349487301,0.879952344780591,108,0.899847990841749,0.370203202519762,-0.952394854911245,2.53604155388585,0.783411588827518,-0.943137512377381,2.50996069003242,0.740406405039524
"H3_longitudinal_LPEs1","LPEs1","D CTRL - D PE",-0.10345410970446,0.19903387577592,108,-0.519781415606519,0.604279670074225,-0.497973780547452,0.291065561138533,-0.224324600265866,NA,NA,0.604279670074225
"H3_within_group_change","LPEs1","Time1 - Time0",0.10065211187667,0.111682034310384,108,0.90123816689209,1,-0.183045742763508,0.384349966516848,NA,NA,NA,1
"H3_within_group_change","LPEs1","Time1 - Time0",0.333421509725303,0.262447203529108,108,1.27043270128928,0.826642233181763,-0.33325428157159,1.0000973010222,NA,NA,NA,1
"H3_within_group_change","LPEs1","Time1 - Time0",0.0359297726420597,0.2298112632947,108,0.156344698370963,1,-0.547843282455249,0.619702827739368,NA,NA,NA,1
"H3_within_group_change","LPEs1","Time1 - Time0",-0.377757275850731,0.351419627668087,108,-1.07494643471514,1,-1.27044332928356,0.514928777582096,NA,NA,NA,1
"H3_longitudinal_LPEs2","LPEs2","D CTRL - D PE",0.0707543479394198,0.227091968204705,117.72646530937,0.311566932546203,0.755920744602497,-0.378960399106501,0.52046909498534,0.100453507363933,NA,NA,0.755920744602497
"H3_within_group_change","LPEs2","TimeNum1 - TimeNum0",0.194197976426577,0.135981068377201,117.709002333914,1.42812509670748,0.623615145267653,-0.150741041175689,0.539136994028843,NA,NA,NA,1
"H3_within_group_change","LPEs2","TimeNum1 - TimeNum0",0.149238964047512,0.172660241666956,118.200987268784,0.864350487446778,1,-0.288714580245499,0.587192508340524,NA,NA,NA,1
"H3_within_group_change","LPEs2","TimeNum1 - TimeNum0",0.248397540357265,0.247156680041376,117.894911702806,1.00502054128451,1,-0.378541843251383,0.875336923965913,NA,NA,NA,1
"H3_within_group_change","LPEs2","TimeNum1 - TimeNum0",0.397220468693213,0.455169731473597,117.734597559992,0.872686475454387,1,-0.757390757122463,1.55183169450889,NA,NA,NA,1
"H3_pairwise_vs_ctrl","LPEs2","trajectory0 - trajectory1",0.0449590123790623,0.219786095854775,118.017093740013,0.20455803723257,0.838269805463861,-0.390276640971263,0.480194665729388,NA,NA,NA,0.847966024455661
"H3_pairwise_vs_ctrl","LPEs2","trajectory0 - trajectory2",-0.054199563930685,0.282088953160652,117.849168932674,-0.192136428326628,0.847966024455661,-0.612819896125995,0.504420768264625,NA,NA,NA,0.847966024455661
"H3_pairwise_vs_ctrl","LPEs2","trajectory0 - trajectory3",-0.203022492266625,0.475049949792358,117.73310764214,-0.427370831962755,0.66988986747724,-1.14377281708106,0.737727832547808,NA,NA,NA,0.847966024455661
"H3_pairwise_vs_ctrl","LPEs2","trajectory1 - trajectory2",-0.0991585763097473,0.302152958012592,118.277382909606,-0.328173442225957,0.743360773580701,-0.697489158021866,0.499172005402371,NA,NA,NA,0.847966024455661
"H3_pairwise_vs_ctrl","LPEs2","trajectory1 - trajectory3",-0.247981504645687,0.486537222914906,117.718726300131,-0.509686603544944,0.611225245271767,-1.2114815140161,0.715518504724729,NA,NA,NA,0.847966024455661
"H3_pairwise_vs_ctrl","LPEs2","trajectory2 - trajectory3",-0.14882292833594,0.518175591037438,117.828911099216,-0.287205593837375,0.77445937473105,-1.17496710649327,0.877321249821385,NA,NA,NA,0.847966024455661
"H2_severity_trend_LPEs2_slope","LPEs2_slope","linear",0.708226053109623,1.4562935247786,117.708971682917,0.486320951826861,0.627643828003984,-2.17570546570238,3.59215757192162,NA,NA,NA,0.926675060551486
"H2_severity_trend_LPEs2_slope","LPEs2_slope","quadratic",0.193781940715002,0.56225941790389,117.71941368663,0.344648634677252,0.730973501964293,-0.919672274205846,1.30723615563585,NA,NA,NA,0.926675060551486
"H2_severity_trend_LPEs2_slope","LPEs2_slope","cubic",-0.0944532366626169,1.0241571256515,118.25572187491,-0.0922253375941042,0.926675060551486,-2.12251774015551,1.93361126683027,NA,NA,NA,0.926675060551486
